Ambulance,3,628,362,Fog,86,1,0.1986055620927032,0.26467582552407554,30,0,0
Bike,1,942,317,Rain,84,0,-0.7751360801263725,0.6836050589292035,7,1,0
Ambulance,3,351,323,Fog,76,1,-1.3238652282658634,0.5735134341422423,25,0,0
Bike,1,270,443,Rain,42,1,-0.06867046534360277,0.34555542282637297,36,1,0
Ambulance,3,498,975,Rain,87,0,-1.312930035039552,1.4680904515461426,22,2,0
Bike,1,922,57,Rain,89,1,-1.88923090744794,0.24178611764414654,27,2,0
Ambulance,3,809,966,Clear,81,1,0.7018664330546533,1.37480270075391,27,1,0
Bike,1,172,268,Rain,86,1,-0.6093709579115529,3.6936888774712973,27,0,1
Ambulance,3,627,820,Clear,76,1,-0.00031468910012311113,1.2543518921113206,19,0,0
Bike,1,360,392,Fog,49,1,-2.5556409897228187,0.364370651948837,12,2,0
Bike,1,396,23,Fog,70,1,1.384517892397775,0.631583900954997,19,1,0
Ambulance,3,325,22,Rain,46,1,-0.7509138352779017,0.5062596001512972,23,1,0
Ambulance,3,470,240,Rain,50,0,2.452136963228776,0.7034572225923315,19,0,0
Ambulance,3,470,240,Rain,50,0,2.452136963228776,0.7034572225923315,19,0,0
Bike,1,941,721,Clear,76,0,-1.654696827361637,1.3524329261376722,36,3,0
Bike,1,295,52,Clear,62,0,0.17361152274436353,0.9519698764263561,11,3,0
Ambulance,3,666,135,Fog,65,1,-1.407358449989171,1.0455806389123665,32,3,0
Ambulance,3,666,135,Fog,65,1,-1.407358449989171,1.0455806389123665,32,3,0
Ambulance,3,666,135,Fog,65,1,-1.407358449989171,1.0455806389123665,32,3,0
Ambulance,3,995,628,Fog,89,0,1.1488732025895319,0.18484428124508032,14,0,0
Ambulance,3,995,628,Fog,89,0,1.1488732025895319,0.18484428124508032,14,0,0
Ambulance,3,995,628,Fog,89,0,1.1488732025895319,0.18484428124508032,14,0,0
Bike,1,774,220,Rain,58,1,-2.2917780342813074,0.4319696180377959,34,1,0
Bike,1,774,220,Rain,58,1,-2.2917780342813074,0.4319696180377959,34,1,0
Bike,1,774,220,Rain,58,1,-2.2917780342813074,0.4319696180377959,34,1,0
Bike,1,345,814,Clear,72,1,-0.021305436411840795,0.6190757099855824,6,2,0
Bike,1,345,814,Clear,72,1,-0.021305436411840795,0.6190757099855824,6,2,0
Bike,1,345,814,Clear,72,1,-0.021305436411840795,0.6190757099855824,6,2,0
Ambulance,3,876,403,Fog,300,0,-2.2780063169680513,0.4943030902069786,20,3,1
Ambulance,3,876,403,Fog,300,0,-2.2780063169680513,0.4943030902069786,20,3,1
Ambulance,3,876,403,Fog,300,0,-2.2780063169680513,0.4943030902069786,20,3,1
Ambulance,3,675,169,Clear,46,0,1.1475147309489477,0.37592466365422916,13,2,0
Ambulance,3,675,169,Clear,46,0,1.1475147309489477,0.37592466365422916,13,2,0
Ambulance,3,675,169,Clear,46,0,1.1475147309489477,0.37592466365422916,13,2,0
Bike,1,912,407,Clear,59,1,-2.4718504922850166,0.4624062267574205,13,1,0
Bike,1,912,407,Clear,59,1,-2.4718504922850166,0.4624062267574205,13,1,0
Bike,1,912,407,Clear,59,1,-2.4718504922850166,0.4624062267574205,13,1,0
Bike,1,681,525,Fog,236,1,1.3880859947169357,1.3615242115099784,33,3,1
Bike,1,681,525,Fog,236,1,1.3880859947169357,1.3615242115099784,33,3,1
Bike,1,681,525,Fog,236,1,1.3880859947169357,1.3615242115099784,33,3,1
